Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre,Saccharin_Stevia,0.047024052,Otu00021,0.365450544,0.539637252,Firmicutes - Clostridia - Clostridiales - Peptococcaceae - uncultured,0.035115925,0.066184108,0.023784073,0.067271516
Pre,Saccharin_Stevia,0.045579172,Otu00009,0.652443217,0.773999765,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.005700374,0.010543668,0.046869437,0.081290616
Pre,Saccharin_Stevia,0.039378185,Otu00011,0.425069338,0.605053652,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - uncultured,0.045476616,0.040859423,0.034597513,0.03784323
Pre,Male_Female,0.097411218,Otu00006,1.02E-07,1.62E-05,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,8.74E-05,0.000201105,0.123384115,0.058564679
Pre,Male_Female,0.087643708,Otu00001,0.11540366,0.239918136,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.049409335,0.101255394,0.098738733,0.112846069
Pre,Male_Female,0.079723019,Otu00013,9.69E-07,7.65E-05,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.102175508,0.048783309,0.001654476,0.007019346
Pre,Male_Female,0.070617543,Otu00005,0.001182097,0.006024879,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.114163574,0.090495769,0.038618812,0.038512438
Pre,Male_Female,0.05853134,Otu00011,9.21E-06,0.000363762,Firmicutes - Erysipelotrichia - Erysipelotrichales - Erysipelotrichaceae - Erysipelotrichaceae_unclassified,0.014435798,0.036121593,0.081423996,0.034688219
Pre,Male_Female,0.055812944,Otu00008,4.46E-06,0.000235146,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Tyzzerella,0.022905064,0.021275359,0.091802236,0.03907852
Pre,Male_Female,0.044770493,Otu00009,0.461154746,0.638197677,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.05397886,0.092478957,0.006200257,0.01107215
Post,Low Fat_High Fat,0.082362465,Otu00002,0.003573757,0.013131479,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.001896913,0.005818513,0.132911325,0.088061366
Post,Low Fat_High Fat,0.062523815,Otu00007,0.034122491,0.092954373,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.101626902,0.103826424,0.015475511,0.023894118
