Comparison,Group,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,Saccharin,0.022891466,Otu00009,0.090723624,0.156154366,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.000793231,0.001586462,0.034455587,0.028100994
Pre-treatment_Post-treatment,Saccharin,0.034609043,Otu00012,0.110210183,0.176336292,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.005396286,0.002158717,0.056092743,0.057633106
Pre-treatment_Post-treatment,High Fat,0.071925964,Otu00002,0.117185087,0.18028475,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.019988555,0.013689668,0.125799994,0.091084191
Pre-treatment_Post-treatment,Low Fat,0.035826286,Otu00142,0.136037128,0.201536486,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0,0,0.047345581,0.066814616
Pre-treatment_Post-treatment,Low Fat,0.028939916,Otu00011,0.146100466,0.208714951,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.0140625,0.031444706,0.038275325,0.034506936
Pre-treatment_Post-treatment,Low Fat,0.086168844,Otu00001,0.169264985,0.233468945,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.080493566,0.145611465,0.096148494,0.052097874
Pre-treatment_Post-treatment,Saccharin,0.073307627,Otu00001,0.248213079,0.310266349,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.073503814,0.11918808,0.116531994,0.039112874
Pre-treatment_Post-treatment,Saccharin,0.040760976,Otu00013,0.245383458,0.310266349,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.062787498,0.045879292,0.003796036,0.001499401
Pre-treatment_Post-treatment,Stevia,0.058230487,Otu00001,0.245383458,0.310266349,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.048090958,0.095832279,0.085594811,0.031434855
Pre-treatment_Post-treatment,Saccharin,0.026839824,Otu00051,0.321121071,0.389237662,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.000396616,0.000793231,0.03991326,0.069769548
Pre-treatment_Post-treatment,High Fat,0.031204679,Otu00021,0.402783694,0.47386317,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.048879625,0.109298164,0.000315129,0.000287675
Pre-treatment_Post-treatment,Stevia,0.057135532,Otu00009,0.538472381,0.615397007,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.088984515,0.102950577,0.011791329,0.014133867
Pre-treatment_Post-treatment,Low Fat,0.08796146,Otu00007,0.674235876,0.728903649,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.09815688,0.134182151,0.097603724,0.121728812
Pre-treatment_Post-treatment,Stevia,0.043218809,Otu00002,0.663117245,0.728903649,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.035220358,0.031485918,0.069279111,0.081266476
Pre-treatment_Post-treatment,High Fat,0.040191626,Otu00009,0.699853937,0.736688355,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.056210526,0.125690558,0.012174925,0.016780419
Pre-treatment_Post-treatment,Saccharin,0.022695284,Otu00002,0.772829993,0.792646146,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.040418253,0.021110743,0.0545488,0.042948831
Pre-treatment_Post-treatment,Low Fat,0.054577504,Otu00009,0.829356961,0.829356961,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.066291172,0.091370539,0.032372891,0.034822199
